MATCH:  A =  2516306, B =  6818943, M = 14039545, mu = 152, Z =    4946448, golden =         4946448
MATCH:  A =    32054, B =  5530907, M =  9591279, mu = 223, Z =    2491942, golden =         2491942
MATCH:  A =  3127821, B =  1122372, M = 11301339, mu = 190, Z =    9873825, golden =         9873825
MATCH:  A =  1826625, B =  9067013, M = 14889821, mu = 144, Z =   10273720, golden =        10273720
MATCH:  A =  7784188, B =  7567117, M =  8674391, mu = 247, Z =    1564119, golden =         1564119
MATCH:  A =   604941, B =  4490171, M = 11022659, mu = 194, Z =    7745518, golden =         7745518
MATCH:  A =   753743, B =  3694037, M = 13278757, mu = 161, Z =   11647703, golden =        11647703
MATCH:  A =  8681256, B =  3873247, M = 10451655, mu = 205, Z =    2358432, golden =         2358432
MATCH:  A =  8561737, B =  5478081, M = 13482349, mu = 159, Z =    5414759, golden =         5414759
MATCH:  A =  2145148, B =  7951970, M = 11482443, mu = 187, Z =    7457405, golden =         7457405
MATCH:  A = 14929499, B =  5533515, M = 16083869, mu = 133, Z =     946669, golden =          946669
MATCH:  A =  9799038, B =  4364737, M = 10301237, mu = 208, Z =    2760856, golden =         2760856
MATCH:  A =  4628242, B =  1361649, M =  9569779, mu = 224, Z =    6677293, golden =         6677293
MATCH:  A =  5649652, B =  6527869, M = 15002489, mu = 143, Z =    4515069, golden =         4515069
MATCH:  A =  2250112, B =  3351434, M =  8614369, mu = 249, Z =    5708687, golden =         5708687
MATCH:  A =  2538282, B = 11116655, M = 12592079, mu = 170, Z =    5810059, golden =         5810059
MATCH:  A = 11346463, B =  1105002, M = 12106937, mu = 177, Z =    5099285, golden =         5099285
MATCH:  A =  6539682, B =  7863442, M = 11804765, mu = 181, Z =    8817079, golden =         8817079
MATCH:  A =  8602524, B =    30668, M =  9381905, mu = 228, Z =    3037432, golden =         3037432
MATCH:  A =  2820283, B =  1551323, M = 13835971, mu = 155, Z =     642702, golden =          642702
MATCH:  A =  2980394, B =  2948719, M =  9363665, mu = 229, Z =    1720216, golden =         1720216
MATCH:  A = 12384949, B = 13673174, M = 15894441, mu = 135, Z =   10705709, golden =        10705709
MATCH:  A =  6210846, B =  7637319, M =  9739321, mu = 220, Z =    8210573, golden =         8210573
MATCH:  A =  5307590, B =  5756906, M =  9986221, mu = 215, Z =    6942895, golden =         6942895
MATCH:  A =  1548173, B =  5598542, M = 10766135, mu = 199, Z =    8493181, golden =         8493181
MATCH:  A =  1840178, B =  2145770, M = 14197847, mu = 151, Z =    7122196, golden =         7122196
MATCH:  A =  5523626, B =  4788642, M = 10827591, mu = 198, Z =   10367538, golden =        10367538
MATCH:  A =  2741442, B = 13356680, M = 13909723, mu = 154, Z =   10589271, golden =        10589271
MATCH:  A =  1135448, B =   254589, M =  9846437, mu = 218, Z =     873426, golden =          873426
MATCH:  A =  6214756, B =  5426474, M = 12573233, mu = 170, Z =    9686618, golden =         9686618
MATCH:  A =  3638677, B =  9809617, M = 12650777, mu = 169, Z =   12260533, golden =        12260533
MATCH:  A =  4737095, B =  5253754, M =  9115165, mu = 235, Z =    4853035, golden =         4853035
MATCH:  A =  6933178, B =  6962224, M =  9776501, mu = 219, Z =    8430989, golden =         8430989
MATCH:  A =   131634, B =  4912232, M =  9468929, mu = 226, Z =    2523536, golden =         2523536
MATCH:  A =  7444244, B =  5897516, M = 13301407, mu = 161, Z =    3962146, golden =         3962146
MATCH:  A =  7949706, B =  9972787, M = 15826739, mu = 135, Z =   15072051, golden =        15072051
MATCH:  A =   840663, B = 12701874, M = 14134507, mu = 151, Z =   11516777, golden =        11516777
MATCH:  A =   407465, B =  4055521, M = 12286727, mu = 174, Z =    4089854, golden =         4089854
MATCH:  A =  3415108, B =  9606999, M = 11723927, mu = 183, Z =   10112399, golden =        10112399
MATCH:  A =  2010262, B =  6594267, M =  8524251, mu = 251, Z =    5249838, golden =         5249838
MATCH:  A =  3267023, B =  4311351, M = 11696633, mu = 183, Z =   10273345, golden =        10273345
MATCH:  A =  6497365, B =  6457744, M = 12512755, mu = 171, Z =   11730095, golden =        11730095
MATCH:  A = 11264170, B =  2971905, M = 12116417, mu = 177, Z =    6572728, golden =         6572728
MATCH:  A =   122417, B =  1827438, M = 10572101, mu = 203, Z =    3820486, golden =         3820486
MATCH:  A =  9534718, B =   154317, M = 12004999, mu = 178, Z =     385169, golden =          385169
MATCH:  A = 11176982, B =  1182722, M = 11991951, mu = 179, Z =    7271860, golden =         7271860
MATCH:  A =  3197507, B = 10420391, M = 11732939, mu = 183, Z =    2595403, golden =         2595403
MATCH:  A = 10325085, B =  4536391, M = 12547811, mu = 171, Z =    3193703, golden =         3193703
MATCH:  A =  2154469, B =  9896040, M = 12719025, mu = 168, Z =     580635, golden =          580635
MATCH:  A =  3290675, B =  9235502, M =  9951791, mu = 215, Z =    7393275, golden =         7393275
MATCH:  A =  2380428, B = 14245066, M = 14437739, mu = 148, Z =   13888508, golden =        13888508
MATCH:  A =  4523584, B =  2021970, M =  8562263, mu = 250, Z =    7875623, golden =         7875623
MATCH:  A =  2665467, B =  2095079, M = 16769373, mu = 128, Z =   11803536, golden =        11803536
MATCH:  A = 12797770, B =    53610, M = 13310157, mu = 161, Z =    3096978, golden =         3096978
MATCH:  A =  1601466, B = 13832860, M = 14213157, mu = 151, Z =    1062048, golden =         1062048
MATCH:  A =  1799247, B =  8602561, M = 10701067, mu = 200, Z =    1752097, golden =         1752097
